City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Tiksi,RU,71.6872,128.8694,39.87,98,72,12.93,broken clouds
160,Camana,PE,-16.6228,-72.7111,63.52,73,53,11.34,broken clouds
161,Osnabruck,DE,52.2667,8.05,77.09,60,97,8.48,overcast clouds
162,Inirida,CO,3.8653,-67.9239,89.8,57,18,1.34,few clouds
163,Cabo San Lucas,MX,22.8909,-109.9124,92.61,73,89,3.0,overcast clouds
164,Vila Velha,BR,-20.3297,-40.2925,76.95,73,75,16.11,broken clouds
165,Zyuzelskiy,RU,56.4856,60.1331,51.64,73,83,3.02,broken clouds
166,Bonavista,CA,48.6499,-53.1147,60.94,89,100,7.96,overcast clouds
167,Sao Filipe,CV,14.8961,-24.4956,77.61,80,35,11.43,light rain
168,Kloulklubed,PW,7.0419,134.2556,82.85,77,100,12.3,light rain
169,Cache Creek,CA,50.8101,-121.3246,83.12,35,0,1.45,clear sky
170,Sesheke,ZM,-17.4759,24.2968,74.25,17,84,3.69,broken clouds
171,Souillac,MU,-20.5167,57.5167,70.18,83,20,6.91,few clouds
172,Laguna,US,38.421,-121.4238,94.96,28,0,3.85,clear sky
173,Shache,CN,38.4167,77.2406,80.71,26,54,8.28,broken clouds
174,Constitucion,CL,-35.3333,-72.4167,54.79,54,0,13.91,clear sky
175,Shingu,JP,33.7333,135.9833,74.46,83,3,4.38,clear sky
176,Tamiahua,MX,21.2667,-97.45,88.02,63,7,8.21,clear sky
177,Faanui,PF,-16.4833,-151.75,78.31,74,100,20.65,overcast clouds
178,Manaus,BR,-3.1019,-60.025,93.7,52,20,6.91,few clouds
179,Poum,NC,-20.2333,164.0167,69.46,65,1,14.88,clear sky
180,Avarua,CK,-21.2078,-159.775,68.05,77,75,2.3,broken clouds
181,Big Bend,SZ,-26.8167,31.9333,66.33,62,3,8.01,clear sky
182,Kodiak,US,57.79,-152.4072,53.11,76,100,0.0,overcast clouds
183,Stephenville Crossing,CA,48.5,-58.4318,68.22,94,100,16.11,mist
184,Las Vegas,US,36.175,-115.1372,96.24,35,20,8.05,few clouds
185,Cidreira,BR,-30.1811,-50.2056,52.45,75,100,17.65,overcast clouds
186,Kaitangata,NZ,-46.2817,169.8464,49.64,85,51,9.26,broken clouds
187,Chapais,CA,49.7834,-74.8492,74.98,36,100,2.71,overcast clouds
188,Severo-Kurilsk,RU,50.6789,156.125,55.81,92,28,7.63,scattered clouds
189,Bonthe,SL,7.5264,-12.505,78.93,78,95,12.57,overcast clouds
190,Bethel,US,41.3712,-73.414,85.01,48,15,1.01,few clouds
191,Ko Samui,TH,9.5357,99.9357,84.07,72,79,10.76,broken clouds
192,Maldonado,UY,-34.6667,-54.9167,49.39,60,8,21.36,clear sky
193,Georgetown,MY,5.4112,100.3354,82.89,84,20,3.44,few clouds
194,Singaparna,ID,-7.3515,108.111,71.02,97,96,0.94,overcast clouds
195,Trinidad,BO,-14.8333,-64.9,75.18,94,75,23.02,thunderstorm with light rain
196,Castro,BR,-24.7911,-50.0119,58.28,94,100,10.11,overcast clouds
197,Burnie,AU,-41.0667,145.9167,43.95,85,81,10.2,broken clouds
198,Paamiut,GL,61.994,-49.6678,42.17,82,0,16.2,clear sky
199,Ust-Tsilma,RU,65.441,52.1498,69.53,65,95,5.61,overcast clouds
200,Moyale,KE,3.5167,39.0584,72.43,42,69,7.9,broken clouds
201,Padang,ID,-0.9492,100.3543,77.43,88,33,4.14,scattered clouds
202,Balvi,LV,57.1313,27.2658,74.3,65,66,5.01,broken clouds
203,Forbes,AU,-33.3833,148.0167,52.34,66,100,7.96,light rain
204,Lorengau,PG,-2.0226,147.2712,79.68,82,39,7.36,scattered clouds
205,Moree,AU,-29.4667,149.85,49.8,69,0,9.64,clear sky
