City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
134,Gupitan,PH,72.77,overcast clouds,7.7758,125.6406,Tagtugonan Water Falls
136,San Cristobal,VE,82.58,clear sky,7.7669,-72.225,Pirineos
137,Bud,US,81.68,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
138,Piterka,RU,83.12,overcast clouds,50.6803,47.4454,
142,Touros,BR,83.23,few clouds,-5.1989,-35.4608,INN NEW HORIZON
143,Sabang,ID,83.1,scattered clouds,5.8933,95.3214,Hotel Citra
144,Puertollano,ES,86.16,clear sky,38.6871,-4.1073,Hotel Puertollano
148,Asau,RO,76.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
151,Mathathane,BW,81.19,scattered clouds,-22.2687,28.7495,Selepswe Resort
152,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
155,Babol,IR,84.18,clear sky,36.5513,52.679,Reza Hotel
157,Sfantu Gheorghe,RO,70.27,broken clouds,45.8667,25.7833,Hotel Park
158,Nioro,GM,80.73,moderate rain,13.35,-15.75,
161,Osnabruck,DE,77.09,overcast clouds,52.2667,8.05,Hotel Walhalla
162,Inirida,CO,89.8,few clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
164,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
167,Sao Filipe,CV,77.61,light rain,14.8961,-24.4956,Hotel Xaguate
168,Kloulklubed,PW,82.85,light rain,7.0419,134.2556,Storyboard Beach Resort
169,Cache Creek,CA,83.12,clear sky,50.8101,-121.3246,Canadas Best Value Inn & Suites
170,Sesheke,ZM,74.25,broken clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
171,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
173,Shache,CN,80.71,broken clouds,38.4167,77.2406,Delong Hotel
175,Shingu,JP,74.46,clear sky,33.7333,135.9833,Shingu UI Hotel
176,Tamiahua,MX,88.02,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
177,Faanui,PF,78.31,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
187,Chapais,CA,74.98,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
